1 , 2007
101 , 53867
201 , 140237
301 , 140971
401 , 119858
501 , 120830
601 , 100553
701 , 81882
801 , 133139
901 , 130764
1001 , 171205
1101 , 159832
1201 , 191594
1301 , 104729
1401 , 96166
1501 , 103542
1601 , 111194
1701 , 118484
1801 , 125453
1901 , 133088
2001 , 142739
2101 , 152151
2201 , 151165
2301 , 162398
2401 , 170721
2501 , 204824
2601 , 186285
2701 , 195747
2801 , 200122
2901 , 208034
3001 , 216370
3101 , 216821
3201 , 186718
3301 , 178535
3401 , 185429
3501 , 188516
3601 , 201786
3701 , 203428
3801 , 206214
3901 , 211864
4001 , 222381
4101 , 223680
4201 , 232610
4301 , 242495
4401 , 243711
4501 , 255641
4601 , 339546
4701 , 350483
4801 , 354609
4901 , 364669
5001 , 371061
5101 , 386235
5201 , 391070
5301 , 302601
5401 , 311353
5501 , 309551
5601 , 315985
5701 , 326281
5801 , 333211
5901 , 342438
6001 , 342786
6101 , 350330
6201 , 346921
6301 , 370737
6401 , 367997
6501 , 370076
6601 , 388138
6701 , 388577
6801 , 401210
6901 , 396175
7001 , 398725
7101 , 415656
7201 , 415452
7301 , 427880
7401 , 430500
7501 , 444830
7601 , 440104
7701 , 445684
7801 , 462401
7901 , 470755
8001 , 468919
8101 , 484184
8201 , 485077
8301 , 499476
8401 , 492139
8501 , 498699
8601 , 510475
8701 , 524457
8801 , 522387
8901 , 538375
9001 , 542165
9101 , 551501
9201 , 544124
9301 , 565792
9401 , 558779
9501 , 581536
9601 , 574453
9701 , 582790
9801 , 594002
9901 , 584065
10001 , 604131
10101 , 606344
10201 , 613690
10301 , 625794
10401 , 625350
10501 , 639344
10601 , 636601
10701 , 643953
10801 , 658367
10901 , 649330
11001 , 665160
11101 , 668542
11201 , 668855
11301 , 689851
11401 , 703839
11501 , 683703
11601 , 702136
11701 , 714374
11801 , 728081
11901 , 727622
12001 , 724430
12101 , 734284
12201 , 753409
12301 , 760163
12401 , 758902
12501 , 767252
12601 , 770584
12701 , 810790
12801 , 786789
12901 , 780560
13001 , 799259
13101 , 791636
13201 , 811605
13301 , 832075
13401 , 842584
13501 , 830306
13601 , 843324
13701 , 856351
13801 , 852957
13901 , 875659
14001 , 869694
14101 , 875272
14201 , 873799
14301 , 885540
14401 , 901926
14501 , 883300
14601 , 907175
14701 , 919312
14801 , 927265
14901 , 929901
15001 , 936956
15101 , 949791
15201 , 949068
15301 , 948165
15401 , 968860
15501 , 955611
15601 , 972909
15701 , 975491
15801 , 991550
15901 , 986968
16001 , 1007619
16101 , 1005424
16201 , 1012072
16301 , 1036962
16401 , 1021468
16501 , 1044266
16601 , 1026411
16701 , 1065183
16801 , 1061256
16901 , 1069351
17001 , 1081747
17101 , 1085452
17201 , 1104518
17301 , 1079410
17401 , 1105320
17501 , 1128486
17601 , 1118152
17701 , 1125077
17801 , 1106157
17901 , 1123377
18001 , 1119095
18101 , 1138407
18201 , 1175948
18301 , 1151248
18401 , 1173669
18501 , 1183439
18601 , 1188651
